,author_id,created_at,edit_history_tweet_ids,id_x,lang,public_metrics,text,username,imp_count,like_count,retweet_count
41,335455570,2023-07-27 02:40:36+00:00,[1684393317264400387],1684393317264400387,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 5538}",U.S. Trucking firm Yellow prepares for bankruptcy - WSJ https://t.co/VIwIr0XlUt https://t.co/5QTl1mx9gl,ReutersWorld,5538,2,0
42,335455570,2023-07-27 02:31:04+00:00,[1684390920626618369],1684390920626618369,en,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 5, 'quote_count': 3, 'bookmark_count': 1, 'impression_count': 6872}","Top US Senate Republican Mitch McConnell freezes up, leaves press conference https://t.co/7XalLatPVs https://t.co/1D0J9DyDK7",ReutersWorld,6872,5,3
43,335455570,2023-07-27 01:40:41+00:00,[1684378242629746695],1684378242629746695,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4571}",Maxlinear scraps nearly $4 bln deal for Taiwan's Silicon Motion https://t.co/42fGkNt2K4 https://t.co/xoLOToOmt0,ReutersWorld,4571,1,1
44,335455570,2023-07-27 00:40:28+00:00,[1684363085954285574],1684363085954285574,en,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 6, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 4772}","Greece wildfires erupt on mainland, killing two people https://t.co/BGuSkhiKuA https://t.co/gap54jiAHK",ReutersWorld,4772,6,7
45,335455570,2023-07-27 00:31:33+00:00,[1684360844304318464],1684360844304318464,en,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4239}",Reactions to the death of singer Sinead O'Connor https://t.co/OzwLcNI4OQ https://t.co/siVOAFrHsT,ReutersWorld,4239,5,1
46,335455570,2023-07-26 23:40:25+00:00,[1684347974019579908],1684347974019579908,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 12, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4803}","Sinead O'Connor, singer of 'Nothing Compares 2 U,' dead at 56 https://t.co/iuSii7N62o https://t.co/BbhBdYiqKN",ReutersWorld,4803,12,1
47,335455570,2023-07-26 23:30:52+00:00,[1684345569689362432],1684345569689362432,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4385}",Canada's Trudeau unveils major cabinet shuffle as poll numbers sag https://t.co/AEUhNaayRj https://t.co/iSe0nrQ8uF,ReutersWorld,4385,4,0
48,335455570,2023-07-26 22:40:25+00:00,[1684332877176008704],1684332877176008704,en,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 14, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 8940}",Niger 'coup attempt' under way as neighbours send mediation mission https://t.co/tHAfaqis3p https://t.co/O9vk5ehUFw,ReutersWorld,8940,14,9
49,335455570,2023-07-26 22:31:21+00:00,[1684330593616633856],1684330593616633856,en,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 6, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 5282}",Kevin Spacey acquitted of all nine sexual offence charges in London trial https://t.co/FTunoEVkew https://t.co/tU8xe8T7ae,ReutersWorld,5282,6,6
50,335455570,2023-07-26 21:40:35+00:00,[1684317816839708678],1684317816839708678,en,"{'retweet_count': 1, 'reply_count': 4, 'like_count': 7, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 6979}","Top US Senate Republican Mitch McConnell freezes up, leaves press conference https://t.co/0xaVqE78uj https://t.co/h0gqWGmFTL",ReutersWorld,6979,7,1
51,335455570,2023-07-26 21:31:01+00:00,[1684315411578249218],1684315411578249218,en,"{'retweet_count': 13, 'reply_count': 2, 'like_count': 14, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 6817}","Ship carrying 3,000 cars ablaze off Dutch coast, crew member dead https://t.co/An6Dxaiclw https://t.co/VRegfxy7af",ReutersWorld,6817,14,13
52,335455570,2023-07-26 20:40:29+00:00,[1684302691575508996],1684302691575508996,en,"{'retweet_count': 19, 'reply_count': 8, 'like_count': 93, 'quote_count': 2, 'bookmark_count': 3, 'impression_count': 10393}",Iranian chess player who removed hijab gets Spanish citizenship https://t.co/ChlyKg2q7K https://t.co/peEF3oEYM1,ReutersWorld,10393,93,19
53,335455570,2023-07-26 19:40:33+00:00,[1684287610875703305],1684287610875703305,en,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 7, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 6101}",Hunter Biden judge says can't accept plea deal in surprise turn https://t.co/erlq4oWgO7 https://t.co/PioEIzGqfq,ReutersWorld,6101,7,4
54,335455570,2023-07-26 19:31:19+00:00,[1684285287214592000],1684285287214592000,en,"{'retweet_count': 11, 'reply_count': 3, 'like_count': 31, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 16770}",Irish singer Sinead O'Connor dies aged 56 https://t.co/EfYEiTDj0h https://t.co/sJ4RvKQ154,ReutersWorld,16770,31,11
55,335455570,2023-07-26 18:40:37+00:00,[1684272527181242372],1684272527181242372,en,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 8, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5079}",Canada's Trudeau unveils major cabinet shuffle as poll numbers sag https://t.co/UWxL00ZxLn https://t.co/DskRwIn70p,ReutersWorld,5079,8,4
56,335455570,2023-07-26 18:31:27+00:00,[1684270221991763978],1684270221991763978,en,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 2, 'bookmark_count': 0, 'impression_count': 5223}",Ocean temperatures around South Florida hit hot-tub levels https://t.co/JQTXQYqavy https://t.co/wP1Cq5UPCW,ReutersWorld,5223,6,2
57,335455570,2023-07-26 17:40:27+00:00,[1684257387962564620],1684257387962564620,en,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 6, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4693}",Vatican prosecutor seeks seven-year sentence for cardinal https://t.co/XwTjcuJ0RJ https://t.co/ujNit93aMw,ReutersWorld,4693,6,1
58,335455570,2023-07-26 17:31:07+00:00,[1684255039160737792],1684255039160737792,en,"{'retweet_count': 6, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4570}",Three dead as Sicily counts losses from 'devastating' fires https://t.co/Ss02kCI3ld https://t.co/mTXiC1bsPi,ReutersWorld,4570,3,6
59,335455570,2023-07-26 16:40:30+00:00,[1684242300732420110],1684242300732420110,en,"{'retweet_count': 12, 'reply_count': 2, 'like_count': 23, 'quote_count': 3, 'bookmark_count': 1, 'impression_count': 7189}","Ship carrying 3,000 cars ablaze off Dutch coast, crew member dead https://t.co/nzsq0R7Xbh https://t.co/vgMt36lBuC",ReutersWorld,7189,23,12
60,335455570,2023-07-26 16:31:14+00:00,[1684239967499825158],1684239967499825158,en,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 12, 'quote_count': 2, 'bookmark_count': 0, 'impression_count': 6241}",Kevin Spacey acquitted of all nine sexual offence charges in London trial https://t.co/gB0Gu7chmZ https://t.co/NuigMDdXWZ,ReutersWorld,6241,12,4
61,335455570,2023-07-26 15:40:30+00:00,[1684227198620663808],1684227198620663808,en,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 11, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4852}","Niger president held by guards, prompting regional fears of attempted coup https://t.co/W65Jxe32DZ https://t.co/gqkI2zI8Zn",ReutersWorld,4852,11,3
62,335455570,2023-07-26 15:30:45+00:00,[1684224745800077317],1684224745800077317,en,"{'retweet_count': 8, 'reply_count': 3, 'like_count': 12, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4993}",Hunter Biden set to plead guilty to tax charges https://t.co/ZBQud0dGVJ https://t.co/2g31udKTkD,ReutersWorld,4993,12,8
63,335455570,2023-07-26 14:40:36+00:00,[1684212125470801924],1684212125470801924,en,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4718}","Powerful typhoon Doksuri lashes Philippines, threatens Taiwan and China https://t.co/oGZnKAsMV9 https://t.co/fAI9lBsjUy",ReutersWorld,4718,4,6
