,Date,banks_positive,banks_neutral,banks_negative,fin_positive,fin_neutral,fin_negative,count_banks,count_fin,dollar,sp500,dollar_diff,sp500_diff
72,2022-03-14,,,,0.09893877059221264,0.6511742969353994,0.24988690080742038,0,3,117.2438,4173.11,0.11639999999999873,-31.200000000000728
73,2022-03-15,,,,0.0792086794972419,0.7927386164665222,0.1280526518821716,0,1,117.3029,4262.45,0.05910000000000082,89.34000000000015
74,2022-03-16,,,,,,,0,0,116.8654,4357.86,-0.4375,95.40999999999985
75,2022-03-17,,,,0.103030614554882,0.5459193587303162,0.3510500490665436,0,1,116.1148,4411.67,-0.7505999999999915,53.8100000000004
76,2022-03-18,,,,0.17786842584609985,0.7051955163478851,0.11693611647933719,0,2,116.2161,4463.12,0.10129999999999484,51.44999999999982
79,2022-03-21,,,,0.3098010222117106,0.6155540843804678,0.07464491824309026,0,3,116.0252,4461.18,-0.19089999999999918,-1.9399999999995998
80,2022-03-22,,,,0.10219487398862834,0.7800843596458436,0.1177207415923476,0,5,116.1654,4511.61,0.1402000000000072,50.42999999999938
81,2022-03-23,,,,0.07809008136391636,0.6635763123631477,0.2583336122334003,0,5,116.0702,4456.24,-0.0952000000000055,-55.36999999999989
82,2022-03-24,,,,0.1474763378500938,0.6019218116998672,0.2506018509157002,0,4,116.0328,4520.16,-0.03740000000000521,63.92000000000007
83,2022-03-25,,,,0.44787004590034485,0.36413736641407013,0.18799254763871429,0,2,115.8678,4543.06,-0.16499999999999204,22.900000000000546
86,2022-03-28,,,,0.2206064153462648,0.5397064000368118,0.23968719206750388,0,5,116.2449,4575.52,0.37709999999999866,32.460000000000036
87,2022-03-29,,,,0.06890380258361495,0.818037211894989,0.11305900632093346,0,6,115.6164,4631.6,-0.6285000000000025,56.07999999999993
88,2022-03-30,,,,0.17212899827531405,0.626201868057251,0.20166910971914018,0,7,115.1226,4602.45,-0.49379999999999313,-29.150000000000546
89,2022-03-31,,,,0.3707552678883076,0.4815439820289612,0.14770075380802153,0,5,115.2445,4530.41,0.12189999999999657,-72.03999999999996
90,2022-04-01,,,,0.0156397894024848,0.2038236409425735,0.7805365920066833,0,1,115.5139,4545.86,0.2694000000000045,15.449999999999818
93,2022-04-04,,,,0.1183161586523056,0.8587123155593872,0.0229715891182422,0,1,115.4466,4582.64,-0.06730000000000302,36.780000000000655
94,2022-04-05,,,,0.1709046512842178,0.7930237948894501,0.0360715696588158,0,2,115.7518,4525.12,0.30519999999999925,-57.52000000000044
95,2022-04-06,,,,0.526201456785202,0.3697039484977722,0.10409460775554176,0,2,116.0177,4481.15,0.265900000000002,-43.970000000000255
96,2022-04-07,,,,0.0992121025919914,0.8275038003921509,0.07328411564230915,0,2,116.3496,4500.21,0.3318999999999903,19.0600000000004
97,2022-04-08,,,,,,,0,0,116.4177,4488.28,0.06810000000000116,-11.930000000000291
100,2022-04-11,,,,0.08797769372661907,0.5898303985595703,0.32219191640615463,0,3,116.5583,4412.53,0.14060000000000628,-75.75
101,2022-04-12,,,,,,,0,0,116.4058,4397.45,-0.1525000000000034,-15.079999999999927
102,2022-04-13,,,,,,,0,0,116.2932,4446.59,-0.11260000000000048,49.14000000000033
103,2022-04-14,,,,0.07989253635917386,0.27502468334777014,0.6450828015804291,0,7,116.7606,4392.59,0.4673999999999978,-54.0
104,2022-04-15,,,,0.0941371470689773,0.6219580173492432,0.2839047759771347,0,2,116.7137,,-0.046899999999993724,
107,2022-04-18,,,,0.3492200970649719,0.6151721477508545,0.0356077477335929,0,1,116.8545,4391.69,0.1407999999999987,
108,2022-04-19,,,,0.1303610950708389,0.845619261264801,0.0240197218954563,0,1,117.1443,4462.21,0.2897999999999996,70.52000000000044
109,2022-04-20,,,,0.11476130461176998,0.35829660525688756,0.5269420987998064,0,13,116.7633,4459.45,-0.3810000000000002,-2.7600000000002183
110,2022-04-21,,,,0.11965322618683177,0.8223780393600464,0.05796872979650891,0,6,117.1711,4393.66,0.4077999999999946,-65.78999999999996
111,2022-04-22,,,,0.1413493007421493,0.6879564126332601,0.17069430897633228,0,3,118.0334,4271.78,0.8623000000000047,-121.88000000000011
114,2022-04-25,,,,0.08165179301674162,0.5282600224018097,0.39008818349490565,0,6,118.6324,4296.12,0.5990000000000038,24.340000000000146
115,2022-04-26,,,,0.18221560493111605,0.5940281599760056,0.22375622298568487,0,2,118.9579,4175.2,0.325499999999991,-120.92000000000007
116,2022-04-27,,,,0.8652957677841187,0.0944378525018692,0.0402664020657539,0,1,119.4542,4183.96,0.49630000000000507,8.760000000000218
117,2022-04-28,,,,0.3572975865432194,0.4877703147275107,0.1549320983301316,0,7,120.0505,4287.5,0.5962999999999994,103.53999999999996
118,2022-04-29,,,,0.1890399965147177,0.465401587386926,0.34555840616424877,0,3,119.4772,4131.93,-0.5733000000000033,-155.5699999999997
121,2022-05-02,,,,0.3078372933798366,0.4923393345541424,0.19982336947901377,0,18,119.8619,4155.38,0.38470000000000937,23.449999999999818
122,2022-05-03,,,,0.1764984671026468,0.4353272095322609,0.388174319639802,0,2,119.677,4175.48,-0.18489999999999895,20.099999999999454
123,2022-05-04,,,,0.2563778357580304,0.4238785185984203,0.3197436375277382,0,7,119.5197,4300.17,-0.15730000000000643,124.69000000000051
124,2022-05-05,,,,0.3236096762120724,0.6263848592837652,0.05000546093409255,0,6,119.9567,4146.87,0.4369999999999976,-153.30000000000018
125,2022-05-06,,,,0.22146800084208895,0.3574730631980029,0.42105894874442706,0,11,119.8387,4123.34,-0.117999999999995,-23.529999999999745
128,2022-05-09,,,,0.22399488774438694,0.6722400623063246,0.10376504405091203,0,12,120.4824,3991.24,0.6436999999999955,-132.10000000000036
129,2022-05-10,,,,0.33243532044192153,0.3568638538320859,0.3107008033742507,0,6,120.7609,4001.05,0.2785000000000082,9.8100000000004
130,2022-05-11,,,,0.1027553736099175,0.564506821334362,0.3327378103775637,0,7,120.3613,3935.18,-0.3996000000000066,-65.87000000000035
131,2022-05-12,,,,0.16353980451822278,0.6828776995340983,0.1535824785629908,0,3,121.2339,3930.08,0.8726000000000056,-5.099999999999909
132,2022-05-13,,,,0.304101658364137,0.5503520170847574,0.14554628853996596,0,6,120.8099,4023.89,-0.4240000000000066,93.80999999999995
135,2022-05-16,,,,0.31275059580802916,0.47849221229553224,0.2087571956217289,0,5,120.6536,4008.01,-0.15630000000000166,-15.879999999999654
136,2022-05-17,,,,0.573014634847641,0.3279997080564499,0.09898566007614129,0,5,119.8656,4088.85,-0.7879999999999967,80.83999999999969
137,2022-05-18,,,,0.2794351004478004,0.3676243755552504,0.35294051302803886,0,9,119.9986,3923.68,0.13299999999999557,-165.17000000000007
138,2022-05-19,,,,0.41371522545814515,0.4067870706319809,0.17949769124388687,0,5,119.3928,3900.79,-0.6058000000000021,-22.889999999999873
139,2022-05-20,,,,0.27611644273357727,0.5130662258182254,0.21081734767981936,0,7,119.322,3901.36,-0.07079999999999131,0.5700000000001637
142,2022-05-23,,,,0.710787832736969,0.1905106256405512,0.0987015330853561,0,3,118.6605,3973.75,-0.6615000000000038,72.38999999999987
143,2022-05-24,,,,0.3732564406469464,0.37917481288313865,0.24756874963641168,0,10,118.5609,3941.48,-0.09959999999999525,-32.26999999999998
144,2022-05-25,,,,0.07599874492734665,0.5690312683582306,0.35497000627219677,0,4,118.9145,3978.73,0.35360000000000014,37.25
145,2022-05-26,,,,0.44000517080227536,0.4775504569212596,0.08244439214467997,0,3,118.7586,4057.84,-0.1559000000000026,79.11000000000013
146,2022-05-27,,,,0.0119903171434998,0.0523459874093532,0.9356637001037598,0,1,118.2787,4158.24,-0.47990000000000066,100.39999999999964
150,2022-05-31,,,,0.23289168936510882,0.4694400578737259,0.2976682285467783,0,9,118.0559,4132.15,-0.22280000000000655,-26.090000000000146
151,2022-06-01,,,,0.12400292139500375,0.6237744893878698,0.25222256779670715,0,4,118.6793,4101.23,0.6234000000000037,-30.920000000000073
152,2022-06-02,,,,0.08501348691061134,0.27532543800771236,0.6396610687176386,0,12,118.0589,4176.82,-0.6204000000000036,75.59000000000015
153,2022-06-03,,,,0.4210854470729828,0.5200020670890808,0.0589125007390975,0,1,118.2054,4108.54,0.14650000000000318,-68.27999999999975
156,2022-06-06,,,,0.12012675218284126,0.5922696113586425,0.2876036375761032,0,10,118.2782,4121.43,0.07280000000000086,12.890000000000327
157,2022-06-07,,,,0.11189161520451302,0.6015494465827942,0.2865589475259185,0,4,118.4232,4160.68,0.14499999999999602,39.25
158,2022-06-08,0.23334897557894385,0.67326287428538,0.0933881600697835,0.1287894314154982,0.704473465681076,0.16673709824681274,3,4,118.3824,4115.77,-0.04079999999999018,-44.909999999999854
