,Date,dollar,sp500,dollar_diff,sp500_diff,bank_positive,bank_neutral,bank_negative,count_bank,fin_positive,fin_neutral,fin_negative,count_fin,bank_positive_var,bank_neutral_var,bank_negative_var,fin_positive_var,fin_neutral_var,fin_negative_var,bank_pos_dummy2,bank_neg_dummy2,fin_pos_dummy2,fin_neg_dummy2,bank_pos_dummy,bank_neu_dummy,bank_neg_dummy,fin_pos_dummy,fin_neu_dummy,fin_neg_dummy
76,2022-10-20,127.9346,3665.78,-0.38649999999999807,-29.379999999999654,,,,0,0.8365810513496399,0.148686483502388,0.014732442796230316,1,,,,,,,0,0,1,0,0,0,0,1,0,0
77,2022-10-21,127.606,3752.75,-0.32860000000000866,86.9699999999998,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
78,2022-10-24,127.9692,3797.34,0.3632000000000062,44.590000000000146,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
79,2022-10-25,127.3311,3859.11,-0.6380999999999943,61.76999999999998,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
80,2022-10-26,126.4195,3830.6,-0.9116000000000071,-28.51000000000022,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
81,2022-10-27,126.6541,3807.3,0.23460000000000036,-23.299999999999727,,,,0,0.02646966464817524,0.407016396522522,0.5665139555931091,1,,,,,,,0,0,0,1,0,0,0,0,0,1
82,2022-10-28,127.1645,3901.06,0.5104000000000042,93.75999999999976,,,,0,0.8594415187835693,0.12890127301216125,0.01165726687759161,1,,,,,,,0,0,1,0,0,0,0,1,0,0
83,2022-10-31,127.5786,3871.98,0.4140999999999906,-29.079999999999927,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
84,2022-11-01,127.348,3856.1,-0.23059999999999548,-15.88000000000011,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
85,2022-11-02,127.2652,3759.69,-0.08280000000000598,-96.40999999999985,,,,0,0.07374029234051704,0.8807310461997986,0.045528678223490715,2,,,,3.0927607275466062e-06,0.0005604927338254129,0.0006468552810665676,0,0,0,0,0,0,0,0,1,0
86,2022-11-03,128.1087,3719.89,0.8435000000000059,-39.80000000000018,,,,0,0.0647997260093689,0.8452529311180115,0.08994734287261963,1,,,,,,,0,0,0,0,0,0,0,0,1,0
87,2022-11-04,127.1053,3770.55,-1.0033999999999992,50.66000000000031,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
88,2022-11-07,126.2613,3806.8,-0.8439999999999941,36.25,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
89,2022-11-08,125.6077,3828.11,-0.6536000000000115,21.309999999999945,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
90,2022-11-09,125.9479,3748.57,0.34020000000001005,-79.53999999999996,,,,0,0.7299611568450928,0.14486220479011536,0.12517662346363068,1,,,,,,,0,0,1,0,0,0,0,1,0,0
91,2022-11-10,124.6714,3956.37,-1.2764999999999986,207.79999999999973,,,,0,0.45401372015476227,0.4894947409629822,0.056491581723093987,2,,,,0.19927552840580676,0.26038188008715224,0.004079803667277344,0,0,1,0,0,0,0,0,1,0
92,2022-11-14,123.3884,3957.25,-1.2830000000000013,0.8800000000001091,,,,0,0.4534342586994171,0.4532683417201042,0.09329737350344658,2,,,,0.11665617920115956,0.11327867817934323,2.4807358089989906e-05,0,0,1,0,0,0,0,1,0,0
93,2022-11-15,122.9951,3991.73,-0.39330000000001064,34.48000000000002,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
94,2022-11-16,123.243,3958.79,0.24790000000000134,-32.940000000000055,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
95,2022-11-17,123.946,3946.56,0.703000000000003,-12.230000000000018,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
96,2022-11-18,123.8169,3965.34,-0.129099999999994,18.7800000000002,,,,0,0.40443405956029893,0.4774198070168495,0.11814609467983246,10,,,,0.045852124209918015,0.03728395203813645,0.004060942448833214,0,0,1,0,0,0,0,0,1,0
