"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","IND","India","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,82.34012,,
"CCUS","Currency exchange rates, monthly average","IND","India","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,81.81052,,
"CCUS","Currency exchange rates, monthly average","IND","India","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,82.46421,,
"CCUS","Currency exchange rates, monthly average","IDN","Indonesia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,14971.77,,
"CCUS","Currency exchange rates, monthly average","IDN","Indonesia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,15417.48,,
"CCUS","Currency exchange rates, monthly average","IDN","Indonesia","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,15658.73,,
"CCUS","Currency exchange rates, monthly average","IDN","Indonesia","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,15615,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,3.446455,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,3.550143,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,3.481864,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,3.453454,,
"CCUS","Currency exchange rates, monthly average","RUS","Russia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,59.7916,,
"CCUS","Currency exchange rates, monthly average","RUS","Russia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,60.8636,,
"CCUS","Currency exchange rates, monthly average","RUS","Russia","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,60.8749,,
"CCUS","Currency exchange rates, monthly average","RUS","Russia","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,65.3414,,
"CCUS","Currency exchange rates, monthly average","ZAF","South Africa","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,17.5498,,
"CCUS","Currency exchange rates, monthly average","ZAF","South Africa","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,18.12261,,
"CCUS","Currency exchange rates, monthly average","ZAF","South Africa","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,17.47961,,
"CCUS","Currency exchange rates, monthly average","ZAF","South Africa","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,17.28172,,
"CCUS","Currency exchange rates, monthly average","EA19","Euro area (19 countries)","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.01043,,
"CCUS","Currency exchange rates, monthly average","EA19","Euro area (19 countries)","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.016271,,
"CCUS","Currency exchange rates, monthly average","EA19","Euro area (19 countries)","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,0.9800927,,
"CCUS","Currency exchange rates, monthly average","EA19","Euro area (19 countries)","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,0.9445572,,
"CCUS","Currency exchange rates, monthly average","CRI","Costa Rica","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,638.1013,,
"CCUS","Currency exchange rates, monthly average","CRI","Costa Rica","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,623.1207,,
"CCUS","Currency exchange rates, monthly average","CRI","Costa Rica","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,609.8925,,
"CCUS","Currency exchange rates, monthly average","CRI","Costa Rica","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,589.5156,,
"CCUS","Currency exchange rates, monthly average","COL","Colombia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,4445.92,,
"CCUS","Currency exchange rates, monthly average","COL","Colombia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,4726.851,,
"CCUS","Currency exchange rates, monthly average","COL","Colombia","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,4920.763,,
"CCUS","Currency exchange rates, monthly average","COL","Colombia","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,4793.103,,
"CCUS","Currency exchange rates, monthly average","ARG","Argentina","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,143.5305,,
"CCUS","Currency exchange rates, monthly average","ARG","Argentina","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,152.4895,,
"CCUS","Currency exchange rates, monthly average","ARG","Argentina","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,162.0233,,
"CCUS","Currency exchange rates, monthly average","ARG","Argentina","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,172.799,,
