Date,Open,High,Low,Close,Adj Close,Volume
2022-08-16,20182.199219,20287.199219,20166.500000,20270.000000,20270.000000,223800800
2022-08-17,20191.699219,20252.000000,20130.800781,20181.400391,20181.400391,225969400
2022-08-18,20230.599609,20323.599609,20209.500000,20265.400391,20265.400391,199911000
2022-08-19,20184.900391,20192.800781,20067.199219,20111.400391,20111.400391,212866200
2022-08-22,19917.000000,19974.900391,19837.800781,19974.900391,19974.900391,252502700
2022-08-23,19968.500000,20082.900391,19941.099609,19985.400391,19985.400391,237556600
2022-08-24,19961.800781,20068.900391,19961.500000,20021.400391,20021.400391,216588500
2022-08-25,20113.099609,20189.000000,20081.000000,20172.300781,20172.300781,248113000
2022-08-26,20204.699219,20205.599609,19860.599609,19873.300781,19873.300781,219288100
2022-08-29,19752.800781,19884.199219,19705.000000,19836.099609,19836.099609,286760800
2022-08-30,19819.800781,19819.800781,19484.800781,19512.900391,19512.900391,220073700
2022-08-31,19450.599609,19506.400391,19329.900391,19330.800781,19330.800781,281282600
2022-09-01,19179.500000,19179.500000,18986.199219,19142.699219,19142.699219,248534900
2022-09-02,19349.400391,19478.300781,19203.800781,19270.900391,19270.900391,211097400
2022-09-06,19346.400391,19371.500000,19074.599609,19088.199219,19088.199219,258388000
2022-09-07,19013.699219,19264.500000,18982.000000,19241.400391,19241.400391,233638300
2022-09-08,19193.199219,19415.500000,19163.599609,19413.000000,19413.000000,226538100
2022-09-09,19592.400391,19789.599609,19592.400391,19773.300781,19773.300781,233564800
2022-09-12,19923.199219,20032.599609,19885.900391,19987.199219,19987.199219,286226100
2022-09-13,19713.099609,19850.599609,19602.500000,19645.400391,19645.400391,248375000
2022-09-14,19683.599609,19809.099609,19649.300781,19726.099609,19726.099609,237740700
2022-09-15,19640.699219,19785.099609,19521.300781,19560.199219,19560.199219,218513100
2022-09-16,19386.199219,19421.599609,19283.199219,19385.900391,19385.900391,622084600
2022-09-19,19203.300781,19569.099609,19198.099609,19562.400391,19562.400391,264092100
2022-09-20,19505.400391,19507.800781,19246.800781,19368.699219,19368.699219,234575900
2022-09-21,19473.699219,19503.500000,19184.500000,19184.500000,19184.500000,222076200
2022-09-22,19263.300781,19290.300781,18985.000000,19002.699219,19002.699219,209762900
2022-09-23,18739.699219,18739.699219,18372.599609,18481.000000,18481.000000,324442400
2022-09-26,18405.300781,18603.500000,18273.000000,18327.000000,18327.000000,350601100
2022-09-27,18493.900391,18546.800781,18247.699219,18307.900391,18307.900391,243468100
2022-09-28,18307.900391,18703.900391,18247.900391,18648.900391,18648.900391,229100000
2022-09-29,18534.000000,18534.000000,18258.400391,18441.800781,18441.800781,216911900
2022-09-30,18453.900391,18685.000000,18381.099609,18444.199219,18444.199219,238134400
2022-10-03,18621.800781,18966.900391,18581.300781,18881.199219,18881.199219,238315900
2022-10-04,19172.800781,19405.099609,19172.800781,19371.000000,19371.000000,283826900
2022-10-05,19240.300781,19296.699219,19106.500000,19235.099609,19235.099609,228995200
2022-10-06,19166.000000,19197.800781,18895.400391,18979.000000,18979.000000,247767500
2022-10-07,18849.099609,18849.300781,18522.599609,18583.099609,18583.099609,237888300
2022-10-11,18380.400391,18427.300781,18174.400391,18216.699219,18216.699219,304718800
2022-10-12,18185.099609,18273.599609,18111.599609,18206.300781,18206.300781,230560900
2022-10-13,17958.800781,18661.400391,17873.199219,18613.599609,18613.599609,263546600
2022-10-14,18686.900391,18763.699219,18319.900391,18326.400391,18326.400391,219842600
2022-10-17,18546.099609,18756.699219,18546.099609,18621.000000,18621.000000,272425800
2022-10-18,18872.099609,18923.900391,18668.800781,18798.199219,18798.199219,187285700
2022-10-19,18712.300781,18761.599609,18577.000000,18674.400391,18674.400391,205778100
2022-10-20,18682.099609,18838.800781,18534.300781,18579.300781,18579.300781,225180200
2022-10-21,18558.099609,18880.800781,18513.500000,18861.000000,18861.000000,209607800
2022-10-24,18915.000000,18955.900391,18786.099609,18918.400391,18918.400391,236806800
2022-10-25,18859.000000,19099.500000,18859.000000,19097.000000,19097.000000,227760800
2022-10-26,19097.500000,19435.900391,19097.500000,19279.800781,19279.800781,254302600
2022-10-27,19391.099609,19516.400391,19316.599609,19352.099609,19352.099609,223826400
2022-10-28,19365.099609,19471.300781,19282.699219,19471.199219,19471.199219,198107200
2022-10-31,19406.500000,19510.900391,19402.099609,19426.099609,19426.099609,262561400
2022-11-01,19674.900391,19698.300781,19496.300781,19517.699219,19517.699219,178366400
2022-11-02,19490.800781,19669.400391,19277.000000,19277.000000,19277.000000,290685300
2022-11-03,19133.900391,19322.400391,19090.599609,19241.199219,19241.199219,257780000
2022-11-04,19475.599609,19580.099609,19300.000000,19449.800781,19449.800781,298290900
2022-11-07,19525.199219,19565.599609,19431.099609,19545.900391,19545.900391,247551300
2022-11-08,19578.300781,19743.300781,19533.900391,19660.300781,19660.300781,231561300
2022-11-09,19570.500000,19585.099609,19338.000000,19344.300781,19344.300781,244299000
2022-11-10,19724.500000,20035.300781,19724.500000,19990.400391,19990.400391,301123200
2022-11-11,20097.500000,20169.800781,20023.500000,20111.500000,20111.500000,266577300
2022-11-14,20057.500000,20102.300781,19921.800781,19921.800781,19921.800781,367889200
2022-11-15,20110.099609,20117.400391,19938.599609,19994.800781,19994.800781,242851000
2022-11-16,19929.000000,20011.599609,19897.300781,19958.000000,19958.000000,266857900
2022-11-17,19790.500000,19884.599609,19742.300781,19884.599609,19884.599609,257158600
2022-11-18,19934.400391,19995.199219,19891.400391,19980.900391,19980.900391,243056700
2022-11-21,19901.800781,19986.000000,19787.099609,19977.099609,19977.099609,319942200
2022-11-22,20060.500000,20236.500000,20048.599609,20220.000000,20220.000000,221847400
2022-11-23,20185.099609,20303.599609,20185.099609,20282.300781,20282.300781,238316600
2022-11-24,20309.199219,20386.699219,20309.199219,20344.099609,20344.099609,88111700
2022-11-25,20348.900391,20446.300781,20342.199219,20383.800781,20383.800781,157063000
2022-11-28,20310.000000,20397.900391,20178.800781,20220.500000,20220.500000,276019100
2022-11-29,20319.800781,20322.699219,20229.300781,20277.400391,20277.400391,240667600
2022-11-30,20341.699219,20456.599609,20137.099609,20453.300781,20453.300781,510923700
2022-12-01,20541.199219,20639.500000,20486.300781,20525.500000,20525.500000,234415200
2022-12-02,20364.400391,20554.500000,20364.400391,20485.699219,20485.699219,264750500
2022-12-05,20453.699219,20476.400391,20204.000000,20242.300781,20242.300781,293487300
2022-12-06,20262.000000,20306.599609,19960.000000,19990.199219,19990.199219,273032300
2022-12-07,19971.300781,20093.000000,19957.599609,19973.199219,19973.199219,241429400
2022-12-08,20044.900391,20086.400391,19947.199219,19969.199219,19969.199219,240247300
2022-12-09,19990.099609,20086.300781,19944.800781,19947.099609,19947.099609,215724900
2022-12-12,19841.099609,20019.900391,19834.300781,20019.699219,20019.699219,305801700
2022-12-13,20312.900391,20341.300781,19955.599609,20023.500000,20023.500000,278272300
2022-12-14,20022.599609,20081.800781,19864.000000,19891.699219,19891.699219,263781200
2022-12-15,19722.900391,19726.599609,19512.900391,19600.599609,19600.599609,277405200
2022-12-16,19429.199219,19504.199219,19352.800781,19443.300781,19443.300781,543394400
2022-12-19,19455.599609,19485.300781,19159.599609,19200.800781,19200.800781,288092500
2022-12-20,19213.500000,19379.099609,19196.500000,19306.900391,19306.900391,256453900
2022-12-21,19447.300781,19598.699219,19447.300781,19571.099609,19571.099609,215845900
2022-12-22,19480.400391,19480.400391,19173.800781,19349.699219,19349.699219,222587000
2022-12-23,19361.400391,19506.699219,19315.099609,19506.699219,19506.699219,195463800
2022-12-28,19472.300781,19519.000000,19263.599609,19284.099609,19284.099609,241863200
2022-12-29,19316.900391,19515.400391,19308.900391,19485.900391,19485.900391,185217200
2022-12-30,19401.300781,19496.199219,19332.800781,19384.900391,19384.900391,155571700
